customer_rk,qty_checks
28505058,2
14205697,1
14748258,1
15197166,1
99054757,1
14770606,1
39698317,1
127103386,1
15582585,2
15066566,1
35945188,1
15313597,1
119267596,1
15209295,1
14043938,1
23930807,2
27754318,1
52465946,1
18565248,2
25940465,2
53315145,1
46392336,1
24619548,1
35587647,1
103630835,1
19465696,1
14053135,1
131235727,1
14391516,1
103591265,1
45962558,1
46859736,1
21335556,1
14566967,1
46806126,1
32741137,1
104530466,1
17406135,1
33227766,1
52462278,1
14227955,1
106154268,1
44387736,1
21818126,1
95723085,1
52990515,1
104914476,1
37320287,1
100428396,1
16900356,1
36466416,1
24398456,1
42851186,1
19009305,1
14820747,1
39628605,1
15883556,2
123814397,1
38401365,1
98113905,1
20382715,1
54778895,1
70114888,1
17120526,1
58625378,2
14917027,1
97540456,1
14865287,1
34206188,1
55777296,1
55727906,1
78149076,1
25738947,2
30826498,1
14507798,1
27038286,1
122514487,1
15252968,1
58855298,2
42376876,1
20915377,1
34742157,1
19219687,1
23032265,1
93811525,1
37860647,1
32519866,1
105611407,1
44676996,1
26334607,1
17504678,1
19270088,1
15294167,1
43563655,1
12947388,1
16866857,1
61136388,1
40524878,1
101557008,1
14264508,1
25197575,1
29915146,1
15265586,1
31283255,1
22966147,1
44736148,1
40555356,1
14749485,1
106813028,1
34173866,1
45069878,1
24727487,1
14798845,1
40801177,1
60514708,1
27820005,1
46587848,1
13888825,1
44296348,1
94816068,1
59285746,1
25836285,1
14417828,1
30900606,1
31183105,1
15772216,1
26505136,1
15797468,1
14281677,1
13900308,1
105358085,1
14416988,1
59745915,1
15268628,1
119655438,1
23315027,1
15301167,1
124802657,1
15044937,1
14627835,1
33892596,1
13881096,1
17652355,1
21324638,1
40937968,1
105092157,1
59462596,1
55023687,1
19888877,1
78658507,1
52926055,1
14725426,1
25532895,1
14884407,1
62586537,1
34194407,1
15606125,1
22803005,1
41533718,1
14422528,1
39865565,1
59032088,1
54985226,1
97870948,1
18306348,1
31228316,1
105157385,1
59837207,1
13972928,1
60340058,1
81754606,1
14043148,1
62054798,1
13039055,1
14417505,1
14675875,1
13816867,1
95817056,1
15751057,1
14608268,1
42502526,1
16562545,1
23058527,1
14635598,1
15769468,1
16441928,1
14058576,1
14243108,1
14531137,1
14605295,1
105570945,1
125823787,1
15178578,1
37894537,1
126128165,1
16334157,1
18271885,1
13929056,1
25499207,1
14800385,1
58400946,1
40609945,2
128832597,1
24758456,1
14917117,2
86290558,2
42767587,1
28848947,2
