synthetic_catalog_nm,synthetic_catalog_code
Авто,1.0
Одежда и обувь,2.0
Товары для дома,3.0
Бытовая техника,4.0
Диетические продукты,5.0
"Чипсы, сухарики и снеки",6.0
"Сухари, сушки, крекеры",7.0
Уборка и бытовая химия,9.0
Товары для стрики и ухода,10.0
"Варенье, джем, мед",11.0
"Печенье, пряники, вафли",12.0
Торты и пирожные,13.0
Спорт и пикник,14.0
Вермуты,15.0
Игристые вина,16.0
Тихие вина,17.0
Вода,18.0
Водка,19.0
Зефир и мармелад,20.0
Товары для красоты и ухода,21.0
Соусы и заправки,22.0
Готовая кулинария и гриль,23.0
Грибы и соленья,24.0
Мясные деликатесы и паштеты,25.0
Молочные коктейли и десерты,26.0
Детские пюре и печенье,27.0
Детские молочные продукты,28.0
Детские напитки,29.0
Детские подгузники и пеленки,30.0
Детская косметика,31.0
Детские смеси и каши,32.0
Жевательная резинка,33.0
Замороженные фрукты и овощи,34.0
Мясо,35.0
Фарш мясной,36.0
Птица,37.0
Замороженные морепродукты,38.0
Крабовое мясо и палочки,39.0
Замороженная выпечка и вареники,40.0
Замороженная пицца и полуфабрикаты,41.0
Пельмени,42.0
Игрушки,43.0
"Пирожки, выпечка и бисквиты",44.0
Икра,45.0
Средства от насекомых,46.0
Ремонт,47.0
Канцелярия,48.0
Сметана,49.0
Сырки глазированные,50.0
Йогурты,51.0
Кисломолочные напитки,52.0
Творог,53.0
"Книги, диски, пресса",54.0
Колбаса,55.0
Сардельки и сосиски,56.0
Мясные консервы,57.0
"Консервированные овощи, фрукты и грибы",58.0
Рыбные консервы,59.0
Конфеты,60.0
Ингредиенты для выпечки,61.0
Коньяк и бренди,62.0
Корм для кошек,63.0
Корм для собак,64.0
Кофе и растворимые напитки,65.0
Сухие завтраки и каши,66.0
Крупы и бобы,67.0
Кухонная посуда,68.0
"Ром, текила, джин, абсент",69.0
Аперитив и ликеры,70.0
"Настойки, наливки, бальзамы",71.0
Виски,72.0
Макаронные изделия,73.0
Растительные масла,74.0
Майонез,75.0
Сгущенное молоко и сливки,76.0
Сливочное масло и маргарин,77.0
Сад и огород,78.0
Молоко,79.0
Мороженое и замороженные десерты,80.0
"Соки, морсы, холодный чай",81.0
Сладкая газированная вода,82.0
Квас,83.0
Энергетические напитки,84.0
"Томаты, огурцы, перцы и наборы овощные",85.0
"Кабачки, баклажаны, кукуруза, тыква",86.0
"Капуста, морковь, свекла, редис",87.0
Цветы,88.0
Картофель,89.0
"Зелень, лук, чеснок",90.0
Сервировка стола,91.0
Орехи и сухофрукты,92.0
Пасха,93.0
Пиво и сидр,94.0
Рыбные закуски и пресервы,95.0
Продукты быстрого приготовления,96.0
Рыба,97.0
Сахар,98.0
Слабоалкогольные напитки,99.0
Хлеб,100.0
Приправы и специи,101.0
"Сыры мягкие, творожные, плавленые",102.0
Сыры твердые и полутвердые,103.0
Табак,104.0
Зоотовары,105.0
Новый Год,106.0
Упаковка,107.0
Сезонные ягоды и экзотические фрукты,108.0
Виноград и груши,109.0
Цитрусовые,110.0
"Персики, сливы, нектарины, абрикосы",111.0
Яблоки,112.0
Бананы,113.0
Туалетная бумага,114.0
Чай,115.0
Шоколад,116.0
Яйца,117.0
,
